Age Group,Week,Time Period,Year,State,Note,State Abbreviation,Suppress,Type,Week Ending Date,averagecount,difference,Number of Deaths,Number of Records,pctdifference
65-74 years,21,2015-2019,2015,United States,,US,,Predicted (weighted),5/30/2015,9731,,9208,1,
65-74 years,22,2015-2019,2015,United States,,US,,Predicted (weighted),6/6/2015,9597,,8900,1,
65-74 years,23,2015-2019,2015,United States,,US,,Predicted (weighted),6/13/2015,9738,,9156,1,
65-74 years,24,2015-2019,2015,United States,,US,,Predicted (weighted),6/20/2015,9691,,8972,1,
65-74 years,25,2015-2019,2015,United States,,US,,Predicted (weighted),6/27/2015,9691,,9094,1,
65-74 years,26,2015-2019,2015,United States,,US,,Predicted (weighted),7/4/2015,9637,,9000,1,
65-74 years,27,2015-2019,2015,United States,,US,,Predicted (weighted),7/11/2015,9664,,9040,1,
65-74 years,28,2015-2019,2015,United States,,US,,Predicted (weighted),7/18/2015,9581,,9126,1,
65-74 years,29,2015-2019,2015,United States,,US,,Predicted (weighted),7/25/2015,9538,,8905,1,
65-74 years,30,2015-2019,2015,United States,,US,,Predicted (weighted),8/1/2015,9525,,8838,1,
65-74 years,31,2015-2019,2015,United States,,US,,Predicted (weighted),8/8/2015,9548,,8799,1,
65-74 years,32,2015-2019,2015,United States,,US,,Predicted (weighted),8/15/2015,9525,,8781,1,
65-74 years,33,2015-2019,2015,United States,,US,,Predicted (weighted),8/22/2015,9639,,9028,1,
65-74 years,34,2015-2019,2015,United States,,US,,Predicted (weighted),8/29/2015,9498,,8967,1,
65-74 years,35,2015-2019,2015,United States,,US,,Predicted (weighted),9/5/2015,9664,,9002,1,
65-74 years,36,2015-2019,2015,United States,,US,,Predicted (weighted),9/12/2015,9570,,9136,1,
65-74 years,37,2015-2019,2015,United States,,US,,Predicted (weighted),9/19/2015,9723,,9274,1,
65-74 years,38,2015-2019,2015,United States,,US,,Predicted (weighted),9/26/2015,9669,,9119,1,
65-74 years,39,2015-2019,2015,United States,,US,,Predicted (weighted),10/3/2015,9750,,9133,1,
65-74 years,40,2015-2019,2015,United States,,US,,Predicted (weighted),10/10/2015,9858,,9544,1,
65-74 years,41,2015-2019,2015,United States,,US,,Predicted (weighted),10/17/2015,9854,,9295,1,
65-74 years,42,2015-2019,2015,United States,,US,,Predicted (weighted),10/24/2015,9991,,9346,1,
65-74 years,43,2015-2019,2015,United States,,US,,Predicted (weighted),10/31/2015,10021,,9362,1,
65-74 years,44,2015-2019,2015,United States,,US,,Predicted (weighted),11/7/2015,10053,,9562,1,
65-74 years,45,2015-2019,2015,United States,,US,,Predicted (weighted),11/14/2015,10157,,9406,1,
65-74 years,46,2015-2019,2015,United States,,US,,Predicted (weighted),11/21/2015,10264,,9584,1,
65-74 years,47,2015-2019,2015,United States,,US,,Predicted (weighted),11/28/2015,10296,,9527,1,
65-74 years,48,2015-2019,2015,United States,,US,,Predicted (weighted),12/5/2015,10389,,9574,1,
65-74 years,49,2015-2019,2015,United States,,US,,Predicted (weighted),12/12/2015,10599,,10016,1,
65-74 years,50,2015-2019,2015,United States,,US,,Predicted (weighted),12/19/2015,10572,,9634,1,
65-74 years,51,2015-2019,2015,United States,,US,,Predicted (weighted),12/26/2015,10733,,9757,1,
65-74 years,52,2015-2019,2015,United States,,US,,Predicted (weighted),1/2/2016,10873,,9741,1,
75-84 years,1,2015-2019,2015,United States,,US,,Predicted (weighted),1/10/2015,14322,,14795,1,
75-84 years,2,2015-2019,2015,United States,,US,,Predicted (weighted),1/17/2015,14432,,14598,1,
75-84 years,3,2015-2019,2015,United States,,US,,Predicted (weighted),1/24/2015,14193,,14204,1,
75-84 years,4,2015-2019,2015,United States,,US,,Predicted (weighted),1/31/2015,14016,,13754,1,
75-84 years,5,2015-2019,2015,United States,,US,,Predicted (weighted),2/7/2015,13846,,13717,1,
75-84 years,6,2015-2019,2015,United States,,US,,Predicted (weighted),2/14/2015,13895,,13570,1,
75-84 years,7,2015-2019,2015,United States,,US,,Predicted (weighted),2/21/2015,13801,,13651,1,
75-84 years,8,2015-2019,2015,United States,,US,,Predicted (weighted),2/28/2015,13599,,13378,1,
75-84 years,9,2015-2019,2015,United States,,US,,Predicted (weighted),3/7/2015,13434,,13080,1,
75-84 years,10,2015-2019,2015,United States,,US,,Predicted (weighted),3/14/2015,13477,,12969,1,
75-84 years,11,2015-2019,2015,United States,,US,,Predicted (weighted),3/21/2015,13247,,12813,1,
75-84 years,12,2015-2019,2015,United States,,US,,Predicted (weighted),3/28/2015,13131,,12766,1,
75-84 years,13,2015-2019,2015,United States,,US,,Predicted (weighted),4/4/2015,13020,,12502,1,
75-84 years,14,2015-2019,2015,United States,,US,,Predicted (weighted),4/11/2015,12986,,12287,1,
75-84 years,15,2015-2019,2015,United States,,US,,Predicted (weighted),4/18/2015,12927,,12613,1,
75-84 years,16,2015-2019,2015,United States,,US,,Predicted (weighted),4/25/2015,12577,,12300,1,
75-84 years,17,2015-2019,2015,United States,,US,,Predicted (weighted),5/2/2015,12532,,12334,1,
75-84 years,18,2015-2019,2015,United States,,US,,Predicted (weighted),5/9/2015,12417,,12064,1,
75-84 years,19,2015-2019,2015,United States,,US,,Predicted (weighted),5/16/2015,12263,,11876,1,
75-84 years,20,2015-2019,2015,United States,,US,,Predicted (weighted),5/23/2015,12103,,11503,1,
75-84 years,21,2015-2019,2015,United States,,US,,Predicted (weighted),5/30/2015,12074,,11587,1,
75-84 years,22,2015-2019,2015,United States,,US,,Predicted (weighted),6/6/2015,11866,,11509,1,
75-84 years,23,2015-2019,2015,United States,,US,,Predicted (weighted),6/13/2015,11950,,11656,1,
75-84 years,24,2015-2019,2015,United States,,US,,Predicted (weighted),6/20/2015,11801,,11281,1,
75-84 years,25,2015-2019,2015,United States,,US,,Predicted (weighted),6/27/2015,11820,,11312,1,
75-84 years,26,2015-2019,2015,United States,,US,,Predicted (weighted),7/4/2015,11855,,11490,1,
75-84 years,27,2015-2019,2015,United States,,US,,Predicted (weighted),7/11/2015,11738,,11284,1,
75-84 years,28,2015-2019,2015,United States,,US,,Predicted (weighted),7/18/2015,11802,,11534,1,
75-84 years,29,2015-2019,2015,United States,,US,,Predicted (weighted),7/25/2015,11703,,11290,1,
75-84 years,30,2015-2019,2015,United States,,US,,Predicted (weighted),8/1/2015,11643,,11264,1,
75-84 years,31,2015-2019,2015,United States,,US,,Predicted (weighted),8/8/2015,11645,,11006,1,
75-84 years,32,2015-2019,2015,United States,,US,,Predicted (weighted),8/15/2015,11676,,11096,1,
75-84 years,33,2015-2019,2015,United States,,US,,Predicted (weighted),8/22/2015,11718,,11407,1,
75-84 years,34,2015-2019,2015,United States,,US,,Predicted (weighted),8/29/2015,11705,,11239,1,
75-84 years,35,2015-2019,2015,United States,,US,,Predicted (weighted),9/5/2015,11755,,11172,1,
75-84 years,36,2015-2019,2015,United States,,US,,Predicted (weighted),9/12/2015,11790,,11322,1,
75-84 years,37,2015-2019,2015,United States,,US,,Predicted (weighted),9/19/2015,11827,,11220,1,
75-84 years,38,2015-2019,2015,United States,,US,,Predicted (weighted),9/26/2015,11876,,11392,1,
75-84 years,39,2015-2019,2015,United States,,US,,Predicted (weighted),10/3/2015,11954,,11506,1,
75-84 years,40,2015-2019,2015,United States,,US,,Predicted (weighted),10/10/2015,12252,,12044,1,
75-84 years,41,2015-2019,2015,United States,,US,,Predicted (weighted),10/17/2015,12175,,11575,1,
75-84 years,42,2015-2019,2015,United States,,US,,Predicted (weighted),10/24/2015,12370,,11861,1,
75-84 years,43,2015-2019,2015,United States,,US,,Predicted (weighted),10/31/2015,12529,,11698,1,
75-84 years,44,2015-2019,2015,United States,,US,,Predicted (weighted),11/7/2015,12546,,12120,1,
75-84 years,45,2015-2019,2015,United States,,US,,Predicted (weighted),11/14/2015,12546,,11904,1,
75-84 years,46,2015-2019,2015,United States,,US,,Predicted (weighted),11/21/2015,12782,,12189,1,
75-84 years,47,2015-2019,2015,United States,,US,,Predicted (weighted),11/28/2015,12797,,11957,1,
75-84 years,48,2015-2019,2015,United States,,US,,Predicted (weighted),12/5/2015,12902,,12172,1,
75-84 years,49,2015-2019,2015,United States,,US,,Predicted (weighted),12/12/2015,13202,,12522,1,
75-84 years,50,2015-2019,2015,United States,,US,,Predicted (weighted),12/19/2015,13308,,12314,1,
75-84 years,51,2015-2019,2015,United States,,US,,Predicted (weighted),12/26/2015,13567,,12574,1,
75-84 years,52,2015-2019,2015,United States,,US,,Predicted (weighted),1/2/2016,13684,,12382,1,
85 years and older,1,2015-2019,2015,United States,,US,,Predicted (weighted),1/10/2015,19741,,21412,1,
85 years and older,2,2015-2019,2015,United States,,US,,Predicted (weighted),1/17/2015,20073,,21276,1,
85 years and older,3,2015-2019,2015,United States,,US,,Predicted (weighted),1/24/2015,19551,,20178,1,
85 years and older,4,2015-2019,2015,United States,,US,,Predicted (weighted),1/31/2015,19153,,19538,1,
85 years and older,5,2015-2019,2015,United States,,US,,Predicted (weighted),2/7/2015,18838,,19181,1,
85 years and older,6,2015-2019,2015,United States,,US,,Predicted (weighted),2/14/2015,18568,,18576,1,
85 years and older,7,2015-2019,2015,United States,,US,,Predicted (weighted),2/21/2015,18616,,18600,1,
85 years and older,8,2015-2019,2015,United States,,US,,Predicted (weighted),2/28/2015,18358,,18445,1,
85 years and older,9,2015-2019,2015,United States,,US,,Predicted (weighted),3/7/2015,18004,,18264,1,
85 years and older,10,2015-2019,2015,United States,,US,,Predicted (weighted),3/14/2015,18120,,18200,1,
85 years and older,11,2015-2019,2015,United States,,US,,Predicted (weighted),3/21/2015,17705,,17503,1,
85 years and older,12,2015-2019,2015,United States,,US,,Predicted (weighted),3/28/2015,17863,,17279,1,
85 years and older,13,2015-2019,2015,United States,,US,,Predicted (weighted),4/4/2015,17406,,17085,1,
85 years and older,14,2015-2019,2015,United States,,US,,Predicted (weighted),4/11/2015,17124,,16831,1,
85 years and older,15,2015-2019,2015,United States,,US,,Predicted (weighted),4/18/2015,17070,,16866,1,
85 years and older,16,2015-2019,2015,United States,,US,,Predicted (weighted),4/25/2015,16739,,16286,1,
85 years and older,17,2015-2019,2015,United States,,US,,Predicted (weighted),5/2/2015,16421,,16331,1,
85 years and older,18,2015-2019,2015,United States,,US,,Predicted (weighted),5/9/2015,16247,,16318,1,
85 years and older,19,2015-2019,2015,United States,,US,,Predicted (weighted),5/16/2015,15801,,15605,1,
85 years and older,20,2015-2019,2015,United States,,US,,Predicted (weighted),5/23/2015,15799,,15502,1,
85 years and older,21,2015-2019,2015,United States,,US,,Predicted (weighted),5/30/2015,15710,,15518,1,
85 years and older,22,2015-2019,2015,United States,,US,,Predicted (weighted),6/6/2015,15435,,15195,1,
85 years and older,23,2015-2019,2015,United States,,US,,Predicted (weighted),6/13/2015,15529,,15230,1,
85 years and older,24,2015-2019,2015,United States,,US,,Predicted (weighted),6/20/2015,15424,,15121,1,
85 years and older,25,2015-2019,2015,United States,,US,,Predicted (weighted),6/27/2015,15275,,15016,1,
85 years and older,26,2015-2019,2015,United States,,US,,Predicted (weighted),7/4/2015,15217,,15086,1,
85 years and older,27,2015-2019,2015,United States,,US,,Predicted (weighted),7/11/2015,15184,,14955,1,
85 years and older,28,2015-2019,2015,United States,,US,,Predicted (weighted),7/18/2015,15170,,15062,1,
85 years and older,29,2015-2019,2015,United States,,US,,Predicted (weighted),7/25/2015,15066,,15050,1,
85 years and older,30,2015-2019,2015,United States,,US,,Predicted (weighted),8/1/2015,14956,,14709,1,
85 years and older,31,2015-2019,2015,United States,,US,,Predicted (weighted),8/8/2015,14919,,14438,1,
85 years and older,32,2015-2019,2015,United States,,US,,Predicted (weighted),8/15/2015,15048,,14707,1,
85 years and older,33,2015-2019,2015,United States,,US,,Predicted (weighted),8/22/2015,15001,,14526,1,
85 years and older,34,2015-2019,2015,United States,,US,,Predicted (weighted),8/29/2015,15003,,14899,1,
85 years and older,35,2015-2019,2015,United States,,US,,Predicted (weighted),9/5/2015,15085,,14845,1,
85 years and older,36,2015-2019,2015,United States,,US,,Predicted (weighted),9/12/2015,15145,,14904,1,
85 years and older,37,2015-2019,2015,United States,,US,,Predicted (weighted),9/19/2015,15454,,15026,1,
85 years and older,38,2015-2019,2015,United States,,US,,Predicted (weighted),9/26/2015,15552,,15281,1,
85 years and older,39,2015-2019,2015,United States,,US,,Predicted (weighted),10/3/2015,15540,,14900,1,
85 years and older,40,2015-2019,2015,United States,,US,,Predicted (weighted),10/10/2015,15786,,15515,1,
85 years and older,41,2015-2019,2015,United States,,US,,Predicted (weighted),10/17/2015,15938,,15507,1,
85 years and older,42,2015-2019,2015,United States,,US,,Predicted (weighted),10/24/2015,16210,,15949,1,
85 years and older,43,2015-2019,2015,United States,,US,,Predicted (weighted),10/31/2015,16251,,15807,1,
85 years and older,44,2015-2019,2015,United States,,US,,Predicted (weighted),11/7/2015,16399,,15864,1,
85 years and older,45,2015-2019,2015,United States,,US,,Predicted (weighted),11/14/2015,16446,,15701,1,
85 years and older,46,2015-2019,2015,United States,,US,,Predicted (weighted),11/21/2015,16817,,16172,1,
85 years and older,47,2015-2019,2015,United States,,US,,Predicted (weighted),11/28/2015,16857,,16266,1,
85 years and older,48,2015-2019,2015,United States,,US,,Predicted (weighted),12/5/2015,17015,,16393,1,
85 years and older,49,2015-2019,2015,United States,,US,,Predicted (weighted),12/12/2015,17403,,16976,1,
85 years and older,50,2015-2019,2015,United States,,US,,Predicted (weighted),12/19/2015,17667,,16344,1,
85 years and older,51,2015-2019,2015,United States,,US,,Predicted (weighted),12/26/2015,17881,,16522,1,
85 years and older,52,2015-2019,2015,United States,,US,,Predicted (weighted),1/2/2016,18082,,16657,1,
65-74 years,1,2015-2019,2016,United States,,US,,Predicted (weighted),1/9/2016,11119,,10267,1,
65-74 years,2,2015-2019,2016,United States,,US,,Predicted (weighted),1/16/2016,11229,,10185,1,
65-74 years,3,2015-2019,2016,United States,,US,,Predicted (weighted),1/23/2016,10909,,10112,1,
65-74 years,4,2015-2019,2016,United States,,US,,Predicted (weighted),1/30/2016,10755,,10134,1,
65-74 years,5,2015-2019,2016,United States,,US,,Predicted (weighted),2/6/2016,10737,,10026,1,
65-74 years,6,2015-2019,2016,United States,,US,,Predicted (weighted),2/13/2016,10944,,10326,1,
65-74 years,7,2015-2019,2016,United States,,US,,Predicted (weighted),2/20/2016,10759,,10363,1,
65-74 years,8,2015-2019,2016,United States,,US,,Predicted (weighted),2/27/2016,10681,,10208,1,
65-74 years,9,2015-2019,2016,United States,,US,,Predicted (weighted),3/5/2016,10680,,10401,1,
65-74 years,10,2015-2019,2016,United States,,US,,Predicted (weighted),3/12/2016,10694,,10426,1,
65-74 years,11,2015-2019,2016,United States,,US,,Predicted (weighted),3/19/2016,10551,,10048,1,
65-74 years,12,2015-2019,2016,United States,,US,,Predicted (weighted),3/26/2016,10376,,10278,1,
65-74 years,13,2015-2019,2016,United States,,US,,Predicted (weighted),4/2/2016,10342,,10201,1,
65-74 years,14,2015-2019,2016,United States,,US,,Predicted (weighted),4/9/2016,10366,,10064,1,
65-74 years,15,2015-2019,2016,United States,,US,,Predicted (weighted),4/16/2016,10274,,10167,1,
65-74 years,16,2015-2019,2016,United States,,US,,Predicted (weighted),4/23/2016,10086,,9826,1,
65-74 years,17,2015-2019,2016,United States,,US,,Predicted (weighted),4/30/2016,9987,,9682,1,
65-74 years,18,2015-2019,2016,United States,,US,,Predicted (weighted),5/7/2016,10024,,9693,1,
65-74 years,19,2015-2019,2016,United States,,US,,Predicted (weighted),5/14/2016,9840,,9472,1,
65-74 years,20,2015-2019,2016,United States,,US,,Predicted (weighted),5/21/2016,9707,,9469,1,
65-74 years,21,2015-2019,2016,United States,,US,,Predicted (weighted),5/28/2016,9731,,9421,1,
65-74 years,22,2015-2019,2016,United States,,US,,Predicted (weighted),6/4/2016,9597,,9360,1,
65-74 years,23,2015-2019,2016,United States,,US,,Predicted (weighted),6/11/2016,9738,,9486,1,
65-74 years,24,2015-2019,2016,United States,,US,,Predicted (weighted),6/18/2016,9691,,9514,1,
65-74 years,25,2015-2019,2016,United States,,US,,Predicted (weighted),6/25/2016,9691,,9342,1,
65-74 years,26,2015-2019,2016,United States,,US,,Predicted (weighted),7/2/2016,9637,,9255,1,
65-74 years,27,2015-2019,2016,United States,,US,,Predicted (weighted),7/9/2016,9664,,9363,1,
65-74 years,28,2015-2019,2016,United States,,US,,Predicted (weighted),7/16/2016,9581,,9290,1,
65-74 years,29,2015-2019,2016,United States,,US,,Predicted (weighted),7/23/2016,9538,,9199,1,
65-74 years,30,2015-2019,2016,United States,,US,,Predicted (weighted),7/30/2016,9525,,9484,1,
65-74 years,31,2015-2019,2016,United States,,US,,Predicted (weighted),8/6/2016,9548,,9469,1,
65-74 years,32,2015-2019,2016,United States,,US,,Predicted (weighted),8/13/2016,9525,,9386,1,
65-74 years,33,2015-2019,2016,United States,,US,,Predicted (weighted),8/20/2016,9639,,9517,1,
65-74 years,34,2015-2019,2016,United States,,US,,Predicted (weighted),8/27/2016,9498,,9357,1,
65-74 years,35,2015-2019,2016,United States,,US,,Predicted (weighted),9/3/2016,9664,,9398,1,
65-74 years,36,2015-2019,2016,United States,,US,,Predicted (weighted),9/10/2016,9570,,9305,1,
65-74 years,37,2015-2019,2016,United States,,US,,Predicted (weighted),9/17/2016,9723,,9366,1,
65-74 years,38,2015-2019,2016,United States,,US,,Predicted (weighted),9/24/2016,9669,,9419,1,
65-74 years,39,2015-2019,2016,United States,,US,,Predicted (weighted),10/1/2016,9750,,9282,1,
65-74 years,40,2015-2019,2016,United States,,US,,Predicted (weighted),10/8/2016,9858,,9552,1,
65-74 years,41,2015-2019,2016,United States,,US,,Predicted (weighted),10/15/2016,9854,,9681,1,
65-74 years,42,2015-2019,2016,United States,,US,,Predicted (weighted),10/22/2016,9991,,9582,1,
65-74 years,43,2015-2019,2016,United States,,US,,Predicted (weighted),10/29/2016,10021,,9743,1,
65-74 years,44,2015-2019,2016,United States,,US,,Predicted (weighted),11/5/2016,10053,,9669,1,
65-74 years,45,2015-2019,2016,United States,,US,,Predicted (weighted),11/12/2016,10157,,9753,1,
65-74 years,46,2015-2019,2016,United States,,US,,Predicted (weighted),11/19/2016,10264,,10037,1,
65-74 years,47,2015-2019,2016,United States,,US,,Predicted (weighted),11/26/2016,10296,,9820,1,
65-74 years,48,2015-2019,2016,United States,,US,,Predicted (weighted),12/3/2016,10389,,10221,1,
65-74 years,49,2015-2019,2016,United States,,US,,Predicted (weighted),12/10/2016,10599,,10408,1,
65-74 years,50,2015-2019,2016,United States,,US,,Predicted (weighted),12/17/2016,10572,,10663,1,
65-74 years,51,2015-2019,2016,United States,,US,,Predicted (weighted),12/24/2016,10733,,10649,1,
65-74 years,52,2015-2019,2016,United States,,US,,Predicted (weighted),12/31/2016,10873,,10656,1,
75-84 years,1,2015-2019,2016,United States,,US,,Predicted (weighted),1/9/2016,14322,,13103,1,
75-84 years,2,2015-2019,2016,United States,,US,,Predicted (weighted),1/16/2016,14432,,13154,1,
75-84 years,3,2015-2019,2016,United States,,US,,Predicted (weighted),1/23/2016,14193,,13053,1,
75-84 years,4,2015-2019,2016,United States,,US,,Predicted (weighted),1/30/2016,14016,,13332,1,
75-84 years,5,2015-2019,2016,United States,,US,,Predicted (weighted),2/6/2016,13846,,12999,1,
75-84 years,6,2015-2019,2016,United States,,US,,Predicted (weighted),2/13/2016,13895,,13034,1,
75-84 years,7,2015-2019,2016,United States,,US,,Predicted (weighted),2/20/2016,13801,,13191,1,
75-84 years,8,2015-2019,2016,United States,,US,,Predicted (weighted),2/27/2016,13599,,12985,1,
75-84 years,9,2015-2019,2016,United States,,US,,Predicted (weighted),3/5/2016,13434,,13065,1,
75-84 years,10,2015-2019,2016,United States,,US,,Predicted (weighted),3/12/2016,13477,,13097,1,
75-84 years,11,2015-2019,2016,United States,,US,,Predicted (weighted),3/19/2016,13247,,12542,1,
75-84 years,12,2015-2019,2016,United States,,US,,Predicted (weighted),3/26/2016,13131,,12632,1,
75-84 years,13,2015-2019,2016,United States,,US,,Predicted (weighted),4/2/2016,13020,,12603,1,
75-84 years,14,2015-2019,2016,United States,,US,,Predicted (weighted),4/9/2016,12986,,12664,1,
75-84 years,15,2015-2019,2016,United States,,US,,Predicted (weighted),4/16/2016,12927,,12291,1,
75-84 years,16,2015-2019,2016,United States,,US,,Predicted (weighted),4/23/2016,12577,,12458,1,
75-84 years,17,2015-2019,2016,United States,,US,,Predicted (weighted),4/30/2016,12532,,11918,1,
75-84 years,18,2015-2019,2016,United States,,US,,Predicted (weighted),5/7/2016,12417,,11947,1,
75-84 years,19,2015-2019,2016,United States,,US,,Predicted (weighted),5/14/2016,12263,,11793,1,
75-84 years,20,2015-2019,2016,United States,,US,,Predicted (weighted),5/21/2016,12103,,11666,1,
75-84 years,21,2015-2019,2016,United States,,US,,Predicted (weighted),5/28/2016,12074,,11756,1,
75-84 years,22,2015-2019,2016,United States,,US,,Predicted (weighted),6/4/2016,11866,,11306,1,
75-84 years,23,2015-2019,2016,United States,,US,,Predicted (weighted),6/11/2016,11950,,11457,1,
75-84 years,24,2015-2019,2016,United States,,US,,Predicted (weighted),6/18/2016,11801,,11347,1,
75-84 years,25,2015-2019,2016,United States,,US,,Predicted (weighted),6/25/2016,11820,,11576,1,
75-84 years,26,2015-2019,2016,United States,,US,,Predicted (weighted),7/2/2016,11855,,11568,1,
75-84 years,27,2015-2019,2016,United States,,US,,Predicted (weighted),7/9/2016,11738,,11292,1,
75-84 years,28,2015-2019,2016,United States,,US,,Predicted (weighted),7/16/2016,11802,,11424,1,
75-84 years,29,2015-2019,2016,United States,,US,,Predicted (weighted),7/23/2016,11703,,11377,1,
75-84 years,30,2015-2019,2016,United States,,US,,Predicted (weighted),7/30/2016,11643,,11429,1,
75-84 years,31,2015-2019,2016,United States,,US,,Predicted (weighted),8/6/2016,11645,,11293,1,
75-84 years,32,2015-2019,2016,United States,,US,,Predicted (weighted),8/13/2016,11676,,11508,1,
75-84 years,33,2015-2019,2016,United States,,US,,Predicted (weighted),8/20/2016,11718,,11575,1,
75-84 years,34,2015-2019,2016,United States,,US,,Predicted (weighted),8/27/2016,11705,,11354,1,
75-84 years,35,2015-2019,2016,United States,,US,,Predicted (weighted),9/3/2016,11755,,11565,1,
75-84 years,36,2015-2019,2016,United States,,US,,Predicted (weighted),9/10/2016,11790,,11607,1,
75-84 years,37,2015-2019,2016,United States,,US,,Predicted (weighted),9/17/2016,11827,,11459,1,
75-84 years,38,2015-2019,2016,United States,,US,,Predicted (weighted),9/24/2016,11876,,11382,1,
75-84 years,39,2015-2019,2016,United States,,US,,Predicted (weighted),10/1/2016,11954,,11517,1,
75-84 years,40,2015-2019,2016,United States,,US,,Predicted (weighted),10/8/2016,12252,,11820,1,
75-84 years,41,2015-2019,2016,United States,,US,,Predicted (weighted),10/15/2016,12175,,12150,1,
75-84 years,42,2015-2019,2016,United States,,US,,Predicted (weighted),10/22/2016,12370,,11973,1,
75-84 years,43,2015-2019,2016,United States,,US,,Predicted (weighted),10/29/2016,12529,,12129,1,
75-84 years,44,2015-2019,2016,United States,,US,,Predicted (weighted),11/5/2016,12546,,12052,1,
75-84 years,45,2015-2019,2016,United States,,US,,Predicted (weighted),11/12/2016,12546,,12179,1,
75-84 years,46,2015-2019,2016,United States,,US,,Predicted (weighted),11/19/2016,12782,,12398,1,
75-84 years,47,2015-2019,2016,United States,,US,,Predicted (weighted),11/26/2016,12797,,12345,1,
75-84 years,48,2015-2019,2016,United States,,US,,Predicted (weighted),12/3/2016,12902,,12590,1,
75-84 years,49,2015-2019,2016,United States,,US,,Predicted (weighted),12/10/2016,13202,,12811,1,
75-84 years,50,2015-2019,2016,United States,,US,,Predicted (weighted),12/17/2016,13308,,12938,1,
75-84 years,51,2015-2019,2016,United States,,US,,Predicted (weighted),12/24/2016,13567,,13329,1,
75-84 years,52,2015-2019,2016,United States,,US,,Predicted (weighted),12/31/2016,13684,,13548,1,
85 years and older,1,2015-2019,2016,United States,,US,,Predicted (weighted),1/9/2016,19741,,18027,1,
85 years and older,2,2015-2019,2016,United States,,US,,Predicted (weighted),1/16/2016,20073,,18169,1,
85 years and older,3,2015-2019,2016,United States,,US,,Predicted (weighted),1/23/2016,19551,,17844,1,
85 years and older,4,2015-2019,2016,United States,,US,,Predicted (weighted),1/30/2016,19153,,17931,1,
85 years and older,5,2015-2019,2016,United States,,US,,Predicted (weighted),2/6/2016,18838,,17544,1,
85 years and older,6,2015-2019,2016,United States,,US,,Predicted (weighted),2/13/2016,18568,,17181,1,
85 years and older,7,2015-2019,2016,United States,,US,,Predicted (weighted),2/20/2016,18616,,17676,1,
85 years and older,8,2015-2019,2016,United States,,US,,Predicted (weighted),2/27/2016,18358,,17438,1,
85 years and older,9,2015-2019,2016,United States,,US,,Predicted (weighted),3/5/2016,18004,,17673,1,
85 years and older,10,2015-2019,2016,United States,,US,,Predicted (weighted),3/12/2016,18120,,17700,1,
85 years and older,11,2015-2019,2016,United States,,US,,Predicted (weighted),3/19/2016,17705,,17080,1,
85 years and older,12,2015-2019,2016,United States,,US,,Predicted (weighted),3/26/2016,17863,,17263,1,
85 years and older,13,2015-2019,2016,United States,,US,,Predicted (weighted),4/2/2016,17406,,16729,1,
85 years and older,14,2015-2019,2016,United States,,US,,Predicted (weighted),4/9/2016,17124,,16812,1,
85 years and older,15,2015-2019,2016,United States,,US,,Predicted (weighted),4/16/2016,17070,,16741,1,
85 years and older,16,2015-2019,2016,United States,,US,,Predicted (weighted),4/23/2016,16739,,16786,1,
85 years and older,17,2015-2019,2016,United States,,US,,Predicted (weighted),4/30/2016,16421,,15912,1,
